x,y,z
10.88605,7.02015,10.84191
10.8937,16.20599,9.00966
10.9455,49.01547,28.75167
10.96976,41.3475,2.70321
11.0119,16.97408,9.06961
11.01775,15.73168,39.15407
11.04175,0.1041,5.64682
11.06347,7.629,20.35391
11.08539,12.59277,21.74537
11.14046,39.57206,18.95404
11.15673,25.79258,36.63002
11.19794,29.26029,12.3643
11.23822,0.77481,2.71512
11.25455,48.56235,18.55712
11.28297,13.85711,3.69737
11.29069,0.84394,9.82423
11.29222,9.95942,15.03293
11.30042,46.9076,34.85772
11.32704,30.18536,28.63653
11.3827,14.08181,7.97711
11.38758,16.92485,9.4265
11.3878,14.07603,7.98003
11.38884,14.07474,7.98083
11.40622,16.25766,13.13315
11.41233,1.63332,1.51626
11.4159,21.24794,13.37091
11.41976,45.04372,18.38896
11.56476,39.72496,42.44909
11.59522,42.9824,21.65187
11.61372,14.28514,17.75273
11.63639,24.19524,10.08013
11.65661,10.33879,3.24815
11.66643,12.7606,1.78981
11.69554,49.20178,44.32711
11.72685,12.62259,26.54417
11.76401,13.05921,32.39895
11.77002,49.30914,16.29229
11.81571,35.70583,5.9686
11.84371,14.23184,43.43243
11.84974,17.65314,14.8728
11.86237,17.72799,4.50273
11.87015,7.97271,9.63329
11.88523,8.08437,13.39267
11.91084,38.85677,9.87362
11.93093,1.89807,12.30102
11.96244,2.34109,1.95833
11.97684,0.34546,6.64763
12.01643,1.10159,29.37418
12.06715,17.49554,30.60122
12.07551,39.05771,26.43774
12.18629,38.98346,11.00789
12.22332,17.86189,4.81483
12.22613,13.15195,16.77002
12.27255,9.04855,11.71881
12.29669,44.09656,37.712
12.30632,30.72197,22.43736
12.31247,44.75675,35.39948
12.31831,30.21342,15.23595
12.34624,27.90903,37.47918
12.38363,33.5778,40.54847
12.39966,37.50589,12.64362
12.40756,45.32362,25.82346
12.41713,2.16369,22.32924
12.42159,16.02421,15.49294
12.43702,14.52919,9.02115
12.44214,39.7016,12.88125
12.46222,10.99231,16.58788
12.47431,2.79593,5.91164
12.52509,15.30193,10.13902
12.53445,2.12995,15.96382
12.54446,21.97044,23.97564
12.61182,16.5098,7.60493
12.61985,38.66502,19.96961
12.62214,5.90207,8.63666
12.6282,11.50441,22.68908
12.63387,20.94752,31.56705
12.67805,24.19155,38.75948
12.73574,0.49758,29.25201
12.75892,2.32533,19.10934
12.75964,2.3245,19.10897
12.83243,12.10387,31.63263
12.83594,31.68939,8.62289
12.8857,7.69945,47.38084
12.88975,17.99542,7.13105
12.89031,2.79552,12.99847
12.89081,17.99414,7.13234
12.90932,32.06732,26.08999
12.95831,49.88613,46.97261
12.96724,10.73756,1.95683
12.98513,2.33736,11.14522
12.98569,6.16687,33.72045
13.10402,27.20182,12.6138
13.10724,9.02176,15.51241
13.10951,43.11997,46.57242
13.11833,21.0123,10.34798
13.1559,12.76832,26.61793
13.15803,12.76899,26.61655
13.22553,47.54824,12.3072
13.23258,9.95008,1.2831
13.23281,9.94986,1.28247
13.23485,45.08137,48.11447
13.23739,13.52127,9.47956
13.2399,11.44292,6.17263
13.25195,22.18791,31.57048
13.27264,10.09883,40.07058
13.28915,25.38802,19.15952
13.35552,32.37595,18.72521
13.39207,27.208,7.78536
13.46498,38.48263,13.81637
13.50059,42.21254,14.95056
13.51323,6.27243,15.36193
13.5182,5.10559,0.13615
13.5182,5.10559,0.13615
13.56003,9.21781,35.08766
13.60965,33.74093,14.42855
13.61821,27.78603,8.70159
13.62854,24.61602,23.20249
13.63611,1.61789,16.19296
13.66221,31.68998,7.7686
13.69513,40.23148,3.93464
13.69522,5.36665,2.53111
13.74119,34.71449,14.44461
13.792,22.0728,21.68203
13.79478,38.11992,12.01882
13.82224,32.19012,16.8646
13.83632,48.55029,12.13358
13.83694,28.83497,13.88617
13.88445,2.33941,18.23892
13.89349,9.83806,23.05787
13.90154,20.3438,7.67136
13.92542,33.07192,17.67286
13.94308,9.13062,0.00133
13.95302,18.72348,24.39912
13.95493,38.26216,9.19965
13.97065,31.60984,23.27551
14.0008,37.5107,49.74571
14.01086,18.55684,5.93693
